id,escenario,nivel,fraccion,variante,algoritmo,arranque,replica,semilla,presupuesto_ms,commit,estado,minuto_final,pedidos_base,pedidos_instancia,pedidos_registrados,pedidos_entregados,pedidos_incumplidos,pedidos_pendientes,pct_cumplimiento,minuto_primer_incumplido,paquetes_entregados,costo_total,km_total,costo_por_pedido,llamadas,llamadas_fuera_presupuesto,ms_mediana,ms_p90,ms_max,v1_invalidas,v2_incoherentes,saturacion_almacenes_pct,tiempo_pared_s,validez,pct_llamadas_en_presupuesto,minuto_primer_incumplido_c,censurado,sin_incumplidos
5D_N1_ALNS-C_r01,5D,N1,0.25,ALNS-C,ALNS,calido,1,20260901,2000,539370b,CULMINADA,7200,1963,499,499,496,0,3,100.0,-1,2126,57176.0,10024,115.274,266,0,1950.124,1950.385,1953.259,0,0,14.8,507.727,True,100.0,7200,True,True
5D_N1_ALNS-C_r02,5D,N1,0.25,ALNS-C,ALNS,calido,2,20260902,2000,539370b,CULMINADA,7200,1963,511,511,508,0,3,100.0,-1,2057,52818.0,9221,103.972,266,0,1950.124,1950.396,1953.571,0,0,22.3,499.922,True,100.0,7200,True,True
5D_N1_ALNS-C_r03,5D,N1,0.25,ALNS-C,ALNS,calido,3,20260903,2000,539370b,CULMINADA,7200,1963,490,490,488,0,2,100.0,-1,1931,52735.0,9350,108.064,266,0,1950.122,1950.302,1952.392,0,0,16.4,476.475,True,100.0,7200,True,True
5D_N1_ALNS-C_r04,5D,N1,0.25,ALNS-C,ALNS,calido,4,20260904,2000,539370b,CULMINADA,7200,1963,486,486,484,0,2,100.0,-1,1908,51098.0,9147,105.574,266,0,1950.141,1950.487,1956.136,0,0,13.7,496.128,True,100.0,7200,True,True
5D_N1_ALNS-C_r05,5D,N1,0.25,ALNS-C,ALNS,calido,5,20260905,2000,539370b,CULMINADA,7200,1963,537,537,533,0,4,100.0,-1,2343,54639.0,9539,102.512,266,0,1950.127,1950.347,1954.75,0,0,19.3,501.856,True,100.0,7200,True,True
5D_N1_ALNS-C_r06,5D,N1,0.25,ALNS-C,ALNS,calido,6,20260906,2000,539370b,CULMINADA,7200,1963,483,483,478,0,5,100.0,-1,1849,51648.0,9205,108.05,266,0,1950.143,1950.45,1955.375,0,0,14.1,503.915,True,100.0,7200,True,True
5D_N1_ALNS-C_r07,5D,N1,0.25,ALNS-C,ALNS,calido,7,20260907,2000,539370b,CULMINADA,7200,1963,472,472,469,0,3,100.0,-1,1808,52877.0,9314,112.744,266,0,1950.145,1950.628,1954.386,0,0,13.6,484.379,True,100.0,7200,True,True
5D_N1_ALNS-C_r08,5D,N1,0.25,ALNS-C,ALNS,calido,8,20260908,2000,539370b,CULMINADA,7200,1963,502,502,498,0,4,100.0,-1,2139,52572.0,9287,105.566,266,0,1950.143,1950.498,1953.394,0,0,17.2,488.34,True,100.0,7200,True,True
5D_N1_ALNS-C_r09,5D,N1,0.25,ALNS-C,ALNS,calido,9,20260909,2000,539370b,CULMINADA,7200,1963,517,517,515,0,2,100.0,-1,1992,55951.0,9735,108.643,266,0,1950.144,1950.42,1965.268,0,0,14.7,494.207,True,100.0,7200,True,True
5D_N1_ALNS-C_r10,5D,N1,0.25,ALNS-C,ALNS,calido,10,20260910,2000,539370b,CULMINADA,7200,1963,480,480,477,0,3,100.0,-1,1940,54589.0,9612,114.442,266,0,1950.144,1950.407,1953.838,0,0,16.1,488.302,True,100.0,7200,True,True
5D_N1_ALNS-F_r01,5D,N1,0.25,ALNS-F,ALNS,constructivo,1,20260901,2000,539370b,CULMINADA,7200,1963,499,499,495,0,4,100.0,-1,2125,57566.0,10219,116.295,266,0,1950.129,1950.362,1951.894,0,0,13.2,507.795,True,100.0,7200,True,True
5D_N1_ALNS-F_r02,5D,N1,0.25,ALNS-F,ALNS,constructivo,2,20260902,2000,539370b,CULMINADA,7200,1963,511,511,508,0,3,100.0,-1,2057,55053.0,9682,108.372,266,0,1950.111,1950.328,1954.554,0,0,19.2,499.884,True,100.0,7200,True,True
5D_N1_ALNS-F_r03,5D,N1,0.25,ALNS-F,ALNS,constructivo,3,20260903,2000,539370b,CULMINADA,7200,1963,490,490,486,0,4,100.0,-1,1911,52141.0,9107,107.286,266,0,1950.128,1950.418,1953.541,0,0,14.4,476.586,True,100.0,7200,True,True
5D_N1_ALNS-F_r04,5D,N1,0.25,ALNS-F,ALNS,constructivo,4,20260904,2000,539370b,CULMINADA,7200,1963,486,486,484,0,2,100.0,-1,1908,53630.0,9585,110.806,266,0,1950.111,1950.303,1956.392,0,0,14.6,495.951,True,100.0,7200,True,True
5D_N1_ALNS-F_r05,5D,N1,0.25,ALNS-F,ALNS,constructivo,5,20260905,2000,539370b,CULMINADA,7200,1963,537,537,533,0,4,100.0,-1,2339,57269.0,10040,107.447,266,0,1950.127,1950.385,1955.224,0,0,19.4,505.87,True,100.0,7200,True,True
5D_N1_ALNS-F_r06,5D,N1,0.25,ALNS-F,ALNS,constructivo,6,20260906,2000,539370b,CULMINADA,7200,1963,483,483,478,0,5,100.0,-1,1855,50782.0,9067,106.238,266,0,1950.131,1950.5,1958.159,0,0,14.3,505.865,True,100.0,7200,True,True
5D_N1_ALNS-F_r07,5D,N1,0.25,ALNS-F,ALNS,constructivo,7,20260907,2000,539370b,CULMINADA,7200,1963,472,472,469,0,3,100.0,-1,1816,52617.0,9286,112.19,266,0,1950.128,1950.378,1953.984,0,0,13.2,486.369,True,100.0,7200,True,True
