volumen,disrupcion,algoritmo,replica,semilla,pedidos_totales,pedidos_atendidos,pedidos_a_tiempo,pct_cumplimiento_global,costo_operativo_total,saturacion_almacenes_pct,tiempo_ejecucion_ms,escenario,pedidos_incumplidos,pedidos_pendientes_cierre,minuto_primer_incumplido
N1,bloqueos,ALNS-C,1,20260901,499,496,496,99.4,57176.0,14.8,507727,5D,0,3,-1
N1,bloqueos,ALNS-C,2,20260902,511,508,508,99.41,52818.0,22.3,499922,5D,0,3,-1
N1,bloqueos,ALNS-C,3,20260903,490,488,488,99.59,52735.0,16.4,476475,5D,0,2,-1
N1,bloqueos,ALNS-C,4,20260904,486,484,484,99.59,51098.0,13.7,496128,5D,0,2,-1
N1,bloqueos,ALNS-C,5,20260905,537,533,533,99.26,54639.0,19.3,501856,5D,0,4,-1
N1,bloqueos,ALNS-C,6,20260906,483,478,478,98.96,51648.0,14.1,503915,5D,0,5,-1
N1,bloqueos,ALNS-C,7,20260907,472,469,469,99.36,52877.0,13.6,484379,5D,0,3,-1
N1,bloqueos,ALNS-C,8,20260908,502,498,498,99.2,52572.0,17.2,488340,5D,0,4,-1
N1,bloqueos,ALNS-C,9,20260909,517,515,515,99.61,55951.0,14.7,494207,5D,0,2,-1
N1,bloqueos,ALNS-C,10,20260910,480,477,477,99.38,54589.0,16.1,488302,5D,0,3,-1
N1,bloqueos,ALNS-F,1,20260901,499,495,495,99.2,57566.0,13.2,507795,5D,0,4,-1
N1,bloqueos,ALNS-F,2,20260902,511,508,508,99.41,55053.0,19.2,499884,5D,0,3,-1
N1,bloqueos,ALNS-F,3,20260903,490,486,486,99.18,52141.0,14.4,476586,5D,0,4,-1
N1,bloqueos,ALNS-F,4,20260904,486,484,484,99.59,53630.0,14.6,495951,5D,0,2,-1
N1,bloqueos,ALNS-F,5,20260905,537,533,533,99.26,57269.0,19.4,505870,5D,0,4,-1
N1,bloqueos,ALNS-F,6,20260906,483,478,478,98.96,50782.0,14.3,505865,5D,0,5,-1
N1,bloqueos,ALNS-F,7,20260907,472,469,469,99.36,52617.0,13.2,486369,5D,0,3,-1
N1,bloqueos,ALNS-F,8,20260908,502,498,498,99.2,53063.0,15.4,486233,5D,1,3,4291
N1,bloqueos,ALNS-F,9,20260909,517,515,515,99.61,58632.0,16.2,492213,5D,0,2,-1
N1,bloqueos,ALNS-F,10,20260910,480,477,477,99.38,53969.0,15.6,488262,5D,0,3,-1
N1,bloqueos,HGS,1,20260901,499,497,497,99.6,54084.0,15.5,507775,5D,0,2,-1
N1,bloqueos,HGS,2,20260902,511,508,508,99.41,52095.0,22.3,499883,5D,0,3,-1
N1,bloqueos,HGS,3,20260903,490,487,487,99.39,50211.0,15.1,474599,5D,0,3,-1
N1,bloqueos,HGS,4,20260904,486,484,484,99.59,49384.0,16.4,499980,5D,0,2,-1
N1,bloqueos,HGS,5,20260905,537,534,534,99.44,57133.0,19.2,505836,5D,1,2,897
N1,bloqueos,HGS,6,20260906,483,477,477,98.76,48625.0,14.1,503870,5D,1,5,6921
N1,bloqueos,HGS,7,20260907,472,468,468,99.15,50036.0,13.5,488254,5D,0,4,-1
N1,bloqueos,HGS,8,20260908,502,496,496,98.8,48422.0,17.0,488283,5D,2,4,4250
N1,bloqueos,HGS,9,20260909,517,515,515,99.61,55791.0,14.2,494070,5D,0,2,-1
N1,bloqueos,HGS,10,20260910,480,477,477,99.38,53961.0,16.6,480496,5D,0,3,-1
N2,bloqueos,ALNS-C,1,20260901,996,982,982,98.59,89150.0,26.1,509909,5D,0,14,-1
N2,bloqueos,ALNS-C,2,20260902,1048,1037,1037,98.95,92759.0,36.6,507946,5D,0,11,-1
N2,bloqueos,ALNS-C,3,20260903,984,976,976,99.19,90500.0,31.4,509870,5D,0,8,-1
N2,bloqueos,ALNS-C,4,20260904,1004,990,990,98.61,88378.0,31.8,506073,5D,1,13,4250
N2,bloqueos,ALNS-C,5,20260905,987,975,975,98.78,88311.0,31.4,507960,5D,1,11,4250
N2,bloqueos,ALNS-C,6,20260906,978,967,967,98.88,89420.0,32.9,509833,5D,0,11,-1
N2,bloqueos,ALNS-C,7,20260907,972,961,961,98.87,91777.0,30.0,500249,5D,1,10,4279
N2,bloqueos,ALNS-C,8,20260908,980,967,967,98.67,87821.0,31.6,500108,5D,1,12,4250
N2,bloqueos,ALNS-C,9,20260909,974,968,968,99.38,89976.0,31.1,502158,5D,0,6,-1
N2,bloqueos,ALNS-C,10,20260910,972,962,962,98.97,91934.0,33.8,504121,5D,2,8,1398
N2,bloqueos,ALNS-F,1,20260901,996,982,982,98.59,91056.0,27.0,507896,5D,0,14,-1
N2,bloqueos,ALNS-F,2,20260902,1048,1034,1034,98.66,93973.0,35.5,509879,5D,1,13,4250
N2,bloqueos,ALNS-F,3,20260903,984,975,975,99.09,92811.0,31.0,510011,5D,0,9,-1
N2,bloqueos,ALNS-F,4,20260904,1004,992,992,98.8,91359.0,28.7,506072,5D,1,11,4250
N2,bloqueos,ALNS-F,5,20260905,987,977,977,98.99,90665.0,29.6,505920,5D,1,9,4250
N2,bloqueos,ALNS-F,6,20260906,978,967,967,98.88,90664.0,32.6,509950,5D,1,10,5506
N2,bloqueos,ALNS-F,7,20260907,972,962,962,98.97,90147.0,29.8,500228,5D,1,9,897
N2,bloqueos,ALNS-F,8,20260908,980,967,967,98.67,87930.0,34.3,500247,5D,1,12,4250
N2,bloqueos,ALNS-F,9,20260909,974,964,964,98.97,89646.0,30.5,500084,5D,1,9,6702
N2,bloqueos,ALNS-F,10,20260910,972,963,963,99.07,93681.0,30.8,504122,5D,1,8,5563
N2,bloqueos,HGS,1,20260901,996,981,981,98.49,94241.0,27.4,508043,5D,0,15,-1
N2,bloqueos,HGS,2,20260902,1048,1036,1036,98.85,101937.0,42.0,510000,5D,1,11,798
N2,bloqueos,HGS,3,20260903,984,975,975,99.09,93989.0,30.5,509956,5D,0,9,-1
N2,bloqueos,HGS,4,20260904,1004,991,991,98.71,95123.0,32.8,504106,5D,1,12,6702
N2,bloqueos,HGS,5,20260905,987,976,976,98.89,98166.0,33.4,506061,5D,0,11,-1
N2,bloqueos,HGS,6,20260906,978,966,966,98.77,90723.0,31.2,510004,5D,4,8,2506
N2,bloqueos,HGS,7,20260907,972,957,957,98.46,91202.0,35.5,502019,5D,1,14,840
N2,bloqueos,HGS,8,20260908,980,965,965,98.47,91369.0,32.9,500196,5D,0,15,-1
N2,bloqueos,HGS,9,20260909,974,967,967,99.28,93053.0,27.8,500090,5D,1,6,6702
N2,bloqueos,HGS,10,20260910,972,962,962,98.97,97330.0,33.1,504121,5D,0,10,-1
N3,bloqueos,ALNS-C,1,20260901,1474,1438,1438,97.56,115423.0,47.8,510086,5D,3,33,897
N3,bloqueos,ALNS-C,2,20260902,1512,1482,1482,98.02,119571.0,50.2,510245,5D,5,25,798
N3,bloqueos,ALNS-C,3,20260903,1486,1454,1454,97.85,118176.0,48.9,510300,5D,3,29,897
N3,bloqueos,ALNS-C,4,20260904,1491,1456,1456,97.65,116049.0,38.3,506200,5D,3,32,4250
N3,bloqueos,ALNS-C,5,20260905,1451,1417,1417,97.66,116756.0,42.2,508297,5D,4,30,798
N3,bloqueos,ALNS-C,6,20260906,1504,1480,1480,98.4,123776.0,43.8,510105,5D,2,22,1398
N3,bloqueos,ALNS-C,7,20260907,1476,1449,1449,98.17,120929.0,39.2,510115,5D,0,27,-1
N3,bloqueos,ALNS-C,8,20260908,1446,1413,1413,97.72,115477.0,48.5,508377,5D,2,31,1398
N3,bloqueos,ALNS-C,9,20260909,1485,1452,1452,97.78,116741.0,44.4,508222,5D,7,26,840
N3,bloqueos,ALNS-C,10,20260910,1491,1457,1457,97.72,121216.0,46.5,504356,5D,5,29,897
N3,bloqueos,ALNS-F,1,20260901,1474,1436,1436,97.42,117299.0,43.9,510153,5D,4,34,897
N3,bloqueos,ALNS-F,2,20260902,1512,1476,1476,97.62,117471.0,43.0,510260,5D,7,29,798
N3,bloqueos,ALNS-F,3,20260903,1486,1447,1447,97.38,118644.0,46.8,510134,5D,7,32,840
N3,bloqueos,ALNS-F,4,20260904,1491,1455,1455,97.59,116330.0,38.4,506316,5D,7,29,897
N3,bloqueos,ALNS-F,5,20260905,1451,1412,1412,97.31,114878.0,41.7,506343,5D,6,33,840
N3,bloqueos,ALNS-F,6,20260906,1504,1474,1474,98.01,120322.0,43.6,510206,5D,6,24,840
N3,bloqueos,ALNS-F,7,20260907,1476,1447,1447,98.04,119881.0,43.6,510176,5D,5,24,840
N3,bloqueos,ALNS-F,8,20260908,1446,1403,1403,97.03,114450.0,44.3,508306,5D,10,33,840
N3,bloqueos,ALNS-F,9,20260909,1485,1445,1445,97.31,116235.0,42.5,508125,5D,8,32,840
N3,bloqueos,ALNS-F,10,20260910,1491,1454,1454,97.52,121658.0,43.1,504394,5D,6,31,897
N3,bloqueos,HGS,1,20260901,1474,1435,1435,97.35,131194.0,41.6,510108,5D,2,37,798
N3,bloqueos,HGS,2,20260902,1512,1474,1474,97.49,134357.0,49.4,510160,5D,5,33,798
N3,bloqueos,HGS,3,20260903,1486,1452,1452,97.71,135499.0,43.8,510375,5D,3,31,2773
N3,bloqueos,HGS,4,20260904,1491,1452,1452,97.38,129476.0,44.2,506241,5D,4,35,897
N3,bloqueos,HGS,5,20260905,1451,1412,1412,97.31,129019.0,41.6,506410,5D,5,34,840
N3,bloqueos,HGS,6,20260906,1504,1474,1474,98.01,140091.0,48.1,510343,5D,1,29,1354
N3,bloqueos,HGS,7,20260907,1476,1439,1439,97.49,134747.0,39.7,510144,5D,5,32,5181
N3,bloqueos,HGS,8,20260908,1446,1410,1410,97.51,128979.0,42.3,508201,5D,2,34,897
N3,bloqueos,HGS,9,20260909,1485,1446,1446,97.37,132007.0,41.8,508411,5D,5,34,911
N3,bloqueos,HGS,10,20260910,1491,1449,1449,97.18,135207.0,43.7,504522,5D,5,37,1076
N4,bloqueos,ALNS-C,1,20260901,137,83,83,60.58,7328.0,2.2,50845,COLAPSO,1,53,897
