minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,1,0
270,1,0
300,1,0
330,0,0
360,0,0
390,0,0
420,1,0
450,6,0
480,8,0
510,11,0
540,16,0
570,16,0
574,16,0
600,20,0
630,22,0
660,25,0
690,26,0
720,30,0
750,29,0
780,26,0
810,19,2
840,7,3
870,10,5
900,15,0
930,15,0
960,14,0
990,15,0
1020,21,0
1050,25,0
1080,26,0
1110,29,0
1140,31,0
1170,31,0
1200,31,0
1230,30,0
1260,25,0
1290,17,0
1317,7,3
1320,3,3
1350,3,3
1380,3,0
1410,2,0
1440,1,0
1470,1,0
1500,1,0
1530,1,0
1560,1,0
1590,1,0
1620,1,0
1650,3,0
1680,3,0
1710,3,0
1740,4,0
1770,2,0
1800,2,2
1830,2,2
1839,2,2
1860,2,0
1890,3,0
1920,4,0
1950,7,0
1980,9,0
2010,15,0
2040,20,0
2070,21,0
2100,23,0
2130,24,0
2160,21,0
2190,19,0
2220,19,0
2250,17,2
2277,3,3
2280,4,4
2310,11,11
2340,15,0
2370,17,0
2400,21,0
2430,23,0
2460,27,0
2490,29,0
2520,32,0
2550,30,0
2580,33,0
2610,35,0
2640,34,0
2670,30,0
2700,28,1
2730,23,2
2760,4,2
2790,4,2
2800,4,2
2809,4,2
2820,4,0
2850,4,0
2880,4,0
2881,4,0
2910,4,0
2940,4,0
2970,4,0
3000,4,0
3030,3,0
3060,3,0
3090,3,0
3120,3,0
3150,4,0
3180,4,0
3210,1,0
3240,0,0
3270,1,1
3300,3,0
3330,4,0
3360,6,0
3390,11,0
3420,14,0
3450,17,0
3480,21,0
3506,23,0
3510,24,0
3540,26,0
3570,26,0
3600,29,0
3630,29,0
3660,26,0
3690,20,3
3720,4,4
3750,6,6
3780,7,0
3810,8,0
3840,10,0
3870,14,0
3879,16,0
3900,19,0
3930,23,0
3960,27,0
3990,32,0
4020,36,0
4050,32,0
4080,34,0
4110,27,0
4140,22,0
4152,24,0
4170,19,3
4200,4,4
4230,4,4
4260,5,0
4261,5,0
4290,4,0
4320,2,0
4350,3,0
4380,4,0
4410,4,0
4440,4,0
4460,5,0
4470,5,0
4500,4,0
4516,4,0
4530,4,0
4560,4,0
4590,4,0
4620,4,0
4650,3,1
4680,2,2
4710,3,3
4739,5,5
4740,5,0
4770,6,0
4800,7,0
4830,15,0
4843,16,0
4860,19,0
4890,24,0
4920,28,0
4950,34,0
4980,32,0
5010,31,0
5040,35,0
5070,33,0
5092,31,1
5100,31,1
5130,27,6
5160,10,10
5184,13,9
5190,14,9
5220,18,0
5250,19,0
5280,17,0
5293,17,0
5310,20,0
5340,25,0
5370,26,0
5400,32,0
5430,32,0
5460,33,0
5490,37,0
5520,35,0
5550,31,0
5580,29,1
5610,17,1
5640,1,1
5653,1,1
5670,2,2
5700,2,0
5730,2,0
5760,1,0
5790,2,0
5820,2,0
5850,3,0
5880,3,0
5910,3,0
5917,3,0
5940,3,0
5970,3,0
6000,3,0
6030,4,0
6060,4,0
6090,3,0
6120,0,0
6150,1,1
6180,1,0
6210,2,0
6216,3,0
6240,4,0
6270,9,0
6292,11,0
6300,11,0
6330,12,0
6360,14,0
6390,14,0
6420,19,0
6450,18,0
6480,22,0
6510,21,0
6540,19,0
6570,18,3
6600,9,4
6612,11,4
6621,11,4
6630,14,6
6660,16,0
6690,19,0
6720,21,0
6750,25,0
6780,27,0
6810,28,0
6832,27,0
6840,26,0
6870,26,0
6900,22,0
6930,22,0
6960,22,0
6967,22,0
6990,19,0
7020,19,0
7050,15,3
7080,4,4
7110,4,4
7140,5,0
7170,3,0
