minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,2,0
270,2,0
300,3,0
330,2,1
360,1,0
390,3,1
420,5,0
450,10,0
480,11,0
510,17,0
540,25,0
570,37,0
574,39,0
600,45,0
630,46,0
660,55,0
690,59,0
720,65,5
750,59,12
780,52,16
810,53,23
840,31,19
870,46,32
900,54,0
930,52,0
960,59,0
990,61,0
1020,66,0
1050,74,0
1080,73,0
1110,73,0
1140,69,0
1170,67,2
1200,66,8
1230,55,10
1260,50,14
1290,40,17
1317,30,21
1320,21,1
1350,21,1
1380,23,0
1410,22,0
1440,23,0
1470,23,0
1500,24,0
1530,24,0
1560,21,0
1590,19,0
1620,18,0
1650,18,0
1680,18,0
1710,12,0
1740,12,0
1770,5,0
1800,2,2
1830,3,3
1839,3,3
1860,3,0
1890,6,0
1920,6,0
1950,13,0
1980,16,0
2010,24,0
2040,33,0
2070,35,0
2100,36,0
2130,42,0
2160,46,1
2190,44,7
2220,44,12
2250,35,17
2277,24,21
2280,21,12
2310,29,19
2340,39,0
2370,41,0
2400,46,0
2430,53,0
2460,57,0
2490,58,0
2520,60,0
2550,59,0
2580,60,0
2610,56,0
2640,53,0
2670,40,0
2700,39,5
2730,27,6
2760,7,6
2790,7,6
2800,7,6
2809,7,6
2820,8,0
2850,6,0
2880,4,0
2881,4,0
2910,5,0
2940,5,0
2970,5,0
3000,6,0
3030,7,0
3060,7,0
3090,7,0
3120,6,0
3150,6,0
3180,7,0
3210,8,2
3240,3,3
3270,5,5
3300,7,0
3330,7,0
3360,10,0
3390,17,0
3420,20,0
3450,24,0
3480,30,0
3506,34,0
3510,35,0
3540,42,0
3570,45,0
3600,43,0
3630,50,6
3660,44,10
3690,36,14
3720,23,19
3750,30,26
3780,35,0
3810,32,0
3840,38,0
3870,42,0
3879,44,0
3900,46,0
3930,53,0
3960,58,0
3990,61,0
4020,65,0
4050,62,0
4080,61,3
4110,47,7
4140,45,11
4152,42,11
4170,30,13
4200,15,10
4230,15,10
4260,17,0
4261,17,0
4290,12,0
4320,10,0
4350,11,0
4380,13,0
4410,12,0
4440,12,0
4460,13,0
4470,13,0
4500,12,0
4516,11,0
4530,11,0
4560,10,0
4590,9,0
4620,8,0
4650,3,0
4680,1,1
4710,5,5
4739,7,7
4740,7,0
4770,8,0
4800,14,0
4830,26,0
4843,27,0
4860,34,0
4890,42,0
4920,54,0
4950,67,0
4980,65,0
5010,70,9
5040,72,18
5070,69,26
5092,62,30
5100,62,30
5130,54,34
5160,43,43
5184,48,48
5190,51,51
5220,62,0
5250,68,0
5280,69,0
5293,70,0
5310,68,0
5340,72,0
5370,68,0
5400,70,0
5430,70,0
5460,67,1
5490,69,4
5520,69,12
5550,56,18
5580,53,20
5610,47,23
5640,23,23
5653,23,23
5670,24,24
5700,24,0
5730,19,0
5760,16,0
5790,16,0
5820,16,0
5850,17,0
5880,16,0
5910,16,0
5917,16,0
5940,16,0
5970,13,0
6000,13,0
6030,15,0
6060,13,1
6090,8,2
6120,2,1
6150,5,3
6180,6,0
6210,7,0
6216,6,0
6240,6,0
6270,12,0
6292,15,0
6300,18,0
6330,25,0
6360,36,0
6390,40,0
6420,46,0
6450,47,0
6480,49,1
6510,44,5
6540,43,10
6570,33,15
6600,25,21
6612,26,22
6621,28,24
6630,30,26
6660,32,0
6690,40,0
6720,42,0
6750,50,0
6780,55,0
6810,59,0
6832,61,0
6840,61,0
6870,62,0
6900,59,0
6930,62,1
6960,55,6
6967,54,6
6990,48,7
7020,46,11
7050,32,12
7080,14,6
7110,15,7
7140,17,0
7170,15,0
