minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,0,0
180,0,0
210,0,0
240,1,0
270,2,0
300,2,0
330,2,0
360,0,0
390,2,2
420,3,0
450,6,0
480,8,0
510,17,0
540,26,0
570,39,0
574,41,0
600,50,0
630,57,0
660,65,0
690,67,0
720,68,6
750,63,14
780,54,17
810,49,26
840,34,27
870,46,39
900,49,0
930,48,0
960,53,0
990,56,0
1020,60,0
1050,60,0
1080,60,0
1110,59,0
1140,57,0
1170,58,0
1200,58,3
1230,52,7
1260,47,11
1290,33,13
1317,22,18
1320,18,5
1350,18,5
1380,20,0
1410,18,0
1440,15,0
1470,15,0
1500,16,0
1530,16,0
1560,15,0
1590,15,0
1620,15,0
1650,16,0
1680,16,0
1710,14,0
1740,14,0
1770,6,0
1800,0,0
1830,1,1
1839,1,1
1860,3,0
1890,4,0
1920,7,0
1950,17,0
1980,18,0
2010,26,0
2040,35,0
2070,36,0
2100,33,0
2130,44,0
2160,44,0
2190,43,5
2220,42,10
2250,30,12
2277,22,17
2280,18,3
2310,29,7
2340,35,0
2370,37,0
2400,40,0
2430,47,0
2460,49,0
2490,51,0
2520,54,0
2550,53,0
2580,55,0
2610,53,0
2640,49,0
2670,42,1
2700,39,8
2730,32,10
2760,12,6
2790,14,8
2800,14,8
2809,14,8
2820,15,0
2850,12,0
2880,11,0
2881,11,0
2910,11,0
2940,11,0
2970,11,0
3000,12,0
3030,13,0
3060,12,0
3090,11,0
3120,11,0
3150,9,0
3180,9,0
3210,8,2
3240,3,1
3270,6,4
3300,8,0
3330,8,0
3360,10,0
3390,21,0
3420,27,0
3450,34,0
3480,35,0
3506,40,0
3510,41,0
3540,49,0
3570,51,0
3600,52,1
3630,50,11
3660,46,14
3690,39,21
3720,31,23
3750,37,29
3780,40,0
3810,43,0
3840,47,0
3870,54,0
3879,57,0
3900,58,0
3930,64,0
3960,65,0
3990,65,0
4020,70,0
4050,66,1
4080,63,7
4110,54,11
4140,49,15
4152,46,17
4170,41,18
4200,21,10
4230,21,10
4260,21,0
4261,21,0
4290,17,0
4320,14,0
4350,15,0
4380,16,0
4410,16,0
4440,16,0
4460,17,0
4470,17,0
4500,16,0
4516,15,0
4530,13,0
4560,12,0
4590,11,0
4620,11,0
4650,10,3
4680,4,4
4710,8,8
4739,9,9
4740,9,0
4770,10,0
4800,8,0
4830,17,0
4843,20,0
4860,25,0
4890,33,0
4920,44,0
4950,56,0
4980,57,0
5010,64,7
5040,67,18
5070,64,26
5092,61,28
5100,61,29
5130,51,33
5160,41,37
5184,45,40
5190,47,42
5220,54,0
5250,59,0
5280,64,0
5293,63,0
5310,63,0
5340,66,0
5370,67,0
5400,65,0
5430,65,0
5460,69,0
5490,67,5
5520,69,13
5550,61,19
5580,55,21
5610,47,24
5640,26,12
5653,26,12
5670,28,13
5700,28,0
5730,28,0
5760,24,0
5790,23,0
5820,24,0
5850,23,0
5880,23,0
5910,20,0
5917,20,0
5940,19,0
5970,17,0
6000,15,0
6030,16,0
6060,16,0
6090,13,1
6120,2,0
6150,6,3
6180,7,0
6210,9,0
6216,10,0
6240,11,0
6270,13,0
6292,15,0
6300,18,0
6330,25,0
6360,29,0
6390,33,0
6420,36,0
6450,44,0
6480,48,0
6510,45,4
6540,43,9
6570,33,12
6600,18,7
6612,19,8
6621,20,9
6630,23,11
6660,29,0
6690,30,0
6720,30,0
6750,35,0
6780,43,0
6810,47,0
6832,47,0
6840,48,0
6870,49,0
6900,49,0
6930,49,0
6960,46,0
6967,42,0
6990,42,4
7020,39,6
7050,28,9
7080,14,10
7110,14,10
7140,15,0
7170,15,0
