minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,2,0
270,3,0
300,3,0
330,3,1
360,1,1
390,2,2
420,4,0
450,9,0
480,13,0
510,21,0
540,31,0
570,41,0
574,44,0
600,53,0
630,60,0
660,71,0
690,76,0
720,72,7
750,64,12
780,56,19
810,54,27
840,34,16
870,49,29
900,54,0
930,58,0
960,64,0
990,70,0
1020,71,0
1050,70,0
1080,71,0
1110,75,0
1140,72,0
1170,73,1
1200,62,4
1230,51,6
1260,46,10
1290,40,13
1317,21,16
1320,16,3
1350,16,3
1380,19,0
1410,14,0
1440,13,0
1470,14,0
1500,14,0
1530,13,0
1560,13,0
1590,13,0
1620,11,0
1650,12,0
1680,9,0
1710,9,0
1740,11,0
1770,8,0
1800,3,3
1830,4,4
1839,4,4
1860,5,0
1890,9,0
1920,10,0
1950,21,0
1980,25,0
2010,33,0
2040,49,0
2070,51,0
2100,53,0
2130,63,0
2160,66,8
2190,61,15
2220,54,19
2250,49,24
2277,32,28
2280,28,17
2310,35,21
2340,46,0
2370,53,0
2400,57,0
2430,65,0
2460,70,0
2490,69,0
2520,75,0
2550,70,0
2580,75,0
2610,72,6
2640,69,12
2670,67,18
2700,58,21
2730,47,23
2760,24,24
2790,25,25
2800,26,26
2809,26,26
2820,27,0
2850,21,0
2880,20,0
2881,20,0
2910,21,0
2940,19,0
2970,20,0
3000,21,0
3030,22,0
3060,20,0
3090,18,0
3120,17,0
3150,14,0
3180,15,0
3210,12,1
3240,2,2
3270,6,6
3300,8,0
3330,12,0
3360,14,0
3390,28,0
3420,36,0
3450,44,0
3480,49,0
3506,52,0
3510,53,0
3540,64,0
3570,69,7
3600,72,13
3630,72,26
3660,68,34
3690,60,41
3720,52,41
3750,62,50
3780,70,0
3810,74,0
3840,81,0
3870,87,0
3879,90,0
3900,93,0
3930,88,0
3960,95,0
3990,93,0
4020,90,8
4050,90,16
4080,94,28
4110,79,33
4140,77,41
4152,72,41
4170,69,43
4200,46,42
4230,46,42
