minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,0,0
180,0,0
210,0,0
240,1,0
270,2,0
300,2,0
330,2,0
360,0,0
390,2,2
420,3,0
450,6,0
480,8,0
510,17,0
540,26,0
570,40,0
574,42,0
600,52,0
630,60,0
660,68,0
690,68,0
720,68,8
750,66,16
780,56,19
810,49,28
840,36,33
870,48,44
900,51,0
930,54,0
960,57,0
990,60,0
1020,63,0
1050,66,0
1080,64,0
1110,64,0
1140,61,0
1170,61,0
1200,64,6
1230,55,10
1260,49,14
1290,38,16
1317,24,21
1320,21,18
1350,21,18
1380,23,0
1410,23,0
1440,19,0
1470,19,0
1500,20,0
1530,20,0
1560,20,0
1590,18,0
1620,17,0
1650,17,0
1680,15,0
1710,16,0
1740,15,0
1770,6,0
1800,1,1
1830,2,2
1839,2,2
1860,4,0
1890,5,0
1920,9,0
1950,20,0
1980,22,0
2010,30,0
2040,41,0
2070,44,0
2100,43,0
2130,49,0
2160,50,4
2190,49,9
2220,46,14
2250,36,17
2277,26,22
2280,24,12
2310,35,22
2340,42,0
2370,44,0
2400,46,0
2430,55,0
2460,58,0
2490,63,0
2520,62,0
2550,63,0
2580,59,0
2610,64,2
2640,59,7
2670,49,11
2700,50,17
2730,33,19
2760,22,10
2790,24,12
2800,24,12
2809,24,12
2820,25,0
2850,22,0
2880,17,0
2881,17,0
2910,17,0
2940,15,0
2970,16,0
3000,17,0
3030,18,0
3060,18,0
3090,18,0
3120,14,0
3150,13,0
3180,14,0
3210,8,3
3240,4,4
3270,7,7
3300,9,0
3330,10,0
3360,12,0
3390,25,0
3420,32,0
3450,40,0
3480,47,0
3506,53,0
3510,55,0
3540,65,0
3570,67,5
3600,70,14
3630,64,26
3660,65,34
3690,61,43
3720,59,55
3750,68,64
3780,74,0
3810,76,0
3840,84,0
3870,92,0
3879,95,0
3900,94,0
3930,98,0
3960,104,1
3990,102,4
4020,103,15
4050,96,19
4080,93,28
4110,84,32
4140,76,39
4152,75,42
4170,69,43
4200,46,40
4230,46,40
