minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,0,0
180,0,0
210,0,0
240,1,0
270,1,0
300,2,0
330,2,1
360,1,0
390,3,1
420,6,0
450,11,0
480,15,0
510,21,0
540,30,0
570,38,0
574,39,0
600,44,0
630,54,0
660,61,0
690,65,0
720,78,15
750,68,20
780,61,24
810,64,31
840,34,24
870,48,36
900,54,0
930,53,0
960,60,0
990,65,0
1020,66,0
1050,74,0
1080,71,0
1110,76,0
1140,75,1
1170,68,2
1200,68,9
1230,63,14
1260,57,20
1290,48,22
1317,28,24
1320,24,13
1350,24,13
1380,25,0
1410,20,0
1440,15,0
1470,16,0
1500,18,0
1530,18,0
1560,18,0
1590,18,0
1620,17,0
1650,15,0
1680,15,0
1710,14,0
1740,15,0
1770,6,0
1800,2,2
1830,3,3
1839,3,3
1860,4,0
1890,4,0
1920,7,0
1950,17,0
1980,23,0
2010,33,0
2040,40,0
2070,44,0
2100,44,0
2130,50,0
2160,53,1
2190,46,7
2220,51,17
2250,48,21
2277,32,24
2280,25,6
2310,32,8
2340,42,0
2370,45,0
2400,47,0
2430,55,0
2460,62,0
2490,65,0
2520,61,0
2550,61,0
2580,62,0
2610,60,1
2640,58,6
2670,49,10
2700,50,17
2730,47,19
2760,23,7
2790,23,7
2800,24,8
2809,24,8
2820,26,0
2850,24,0
2880,20,0
2881,20,0
2910,20,0
2940,19,0
2970,18,0
3000,18,0
3030,18,0
3060,17,0
3090,16,0
3120,12,0
3150,11,0
3180,12,0
3210,3,1
3240,2,2
3270,5,5
3300,8,0
3330,13,0
3360,15,0
3390,31,0
3420,39,0
3450,44,0
3480,52,0
3506,60,0
3510,61,0
3540,72,1
3570,73,13
3600,78,22
3630,80,34
