datos,variante,credito,rep,inc,primero,fin,reg,ent,pend,cpp,v1,fuera,dia_colapso
KB-N3,ALNS-C,true,1,4,897,7200,1474,1439,31,86.314,0,0,0.6229166666666667
KB-N3,HGS,true,3,4,897,7200,1486,1452,30,100.787,0,0,0.6229166666666667
G6,HGS,false,2,1,5500,5500,55,50,4,161.42,0,0,3.8194444444444446
G6,ALNS-C,true,3,0,-1,44640,641,637,4,198.509,0,0,
KB-N3,TS-JERARQUICO,true,3,1,897,7200,1486,1449,36,107.556,0,0,0.6229166666666667
G6,TS-JERARQUICO,false,3,1,5500,5500,55,50,4,158.38,0,0,3.8194444444444446
G6,ALNS-C,false,2,1,5500,5500,55,50,4,160.62,0,0,3.8194444444444446
G6,TS-HOLGURA,true,1,0,-1,44640,641,638,3,288.901,0,0,
KB-N3,TS-HOLGURA,true,2,3,1398,7200,1512,1490,19,146.114,0,0,0.9708333333333333
KB-N4,TS-HOLGURA,true,2,1,4291,4291,734,697,36,149.072,0,0,2.979861111111111
KB-N3,TS-HOLGURA,true,1,2,4242,7200,1474,1451,21,145.912,0,0,2.9458333333333333
KB-N4,TS-JERARQUICO,true,3,1,10570,10570,2092,2030,61,108.174,0,0,7.340277777777778
G6,ALNS-C,true,1,0,-1,44640,641,638,3,198.315,0,0,
G6,TS-JERARQUICO,true,2,1,8519,8519,96,94,1,157.766,0,0,5.915972222222222
G6,TS-HOLGURA,true,2,0,-1,44640,641,638,3,288.276,0,0,
KB-N4,HGS,true,3,1,840,840,132,93,38,96.591,0,0,0.5833333333333334
KB-N3,HGS,true,2,8,798,7200,1512,1475,29,101.7,0,0,0.5541666666666667
KB-N4,HGS,true,1,1,897,897,137,86,50,105.884,0,0,0.6229166666666667
KB-N4,TS-HOLGURA,true,1,1,4242,4242,699,652,46,148.724,0,0,2.9458333333333333
G6,TS-JERARQUICO,false,1,1,5500,5500,55,50,4,158.38,0,0,3.8194444444444446
KB-N3,TS-HOLGURA,true,3,1,1076,7200,1486,1458,27,148.257,0,0,0.7472222222222222
G6,TS-JERARQUICO,true,3,1,38143,38143,525,524,0,191.87,0,0,26.488194444444446
G6,TS-JERARQUICO,false,2,1,5500,5500,55,50,4,158.38,0,0,3.8194444444444446
G6,TS-JERARQUICO,true,1,1,8519,8519,96,94,1,157.766,0,0,5.915972222222222
G6,ALNS-C,true,2,0,-1,44640,641,638,3,196.757,0,0,
G6,TS-HOLGURA,false,1,0,-1,44640,641,638,3,286.014,0,0,
KB-N4,TS-JERARQUICO,true,1,1,13750,13750,2987,2867,119,109.636,0,0,9.54861111111111
KB-N3,TS-JERARQUICO,true,1,0,-1,7200,1474,1443,31,105.062,0,0,
G6,HGS,false,1,1,5500,5500,55,50,4,161.42,0,0,3.8194444444444446
KB-N4,ALNS-C,true,2,1,4250,4250,733,690,42,85.606,0,0,2.951388888888889
KB-N3,TS-JERARQUICO,true,2,2,4291,7200,1512,1478,32,108.733,0,0,2.979861111111111
G6,HGS,true,3,0,-1,44640,641,638,3,191.89,0,0,
KB-N4,TS-HOLGURA,true,3,1,4255,4255,702,657,44,151.938,0,0,2.954861111111111
KB-N3,ALNS-C,true,2,4,897,7200,1512,1486,22,83.863,0,0,0.6229166666666667
KB-N4,TS-JERARQUICO,true,2,1,3655,3655,574,515,58,106.751,0,0,2.5381944444444446
G6,ALNS-C,false,3,1,5500,5500,55,50,4,160.62,0,0,3.8194444444444446
G6,HGS,true,1,1,42931,42931,605,601,3,194.637,0,0,29.813194444444445
G6,HGS,true,2,1,17531,17531,211,210,0,172.729,0,0,12.174305555555556
G6,TS-HOLGURA,true,3,0,-1,44640,641,638,3,289.141,0,0,
KB-N4,ALNS-C,true,3,1,1201,1201,217,158,58,99.627,0,0,0.8340277777777778
KB-N4,HGS,true,2,1,798,798,120,69,50,101.696,0,0,0.5541666666666667
KB-N4,ALNS-C,true,1,1,5506,5506,1047,922,124,90.958,0,0,3.823611111111111
G6,TS-HOLGURA,false,3,0,-1,44640,641,638,3,284.898,0,0,
G6,HGS,false,3,1,5500,5500,55,50,4,161.42,0,0,3.8194444444444446
G6,TS-HOLGURA,false,2,0,-1,44640,641,638,3,275.798,0,0,
KB-N3,ALNS-C,true,3,7,897,7200,1486,1455,24,85.57,0,0,0.6229166666666667
G6,ALNS-C,false,1,1,5500,5500,55,50,4,160.62,0,0,3.8194444444444446
KB-N3,HGS,true,1,6,897,7200,1474,1433,35,100.292,0,0,0.6229166666666667
