minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,3,0
270,3,0
300,3,0
330,2,1
360,1,1
390,3,3
420,6,0
450,11,0
480,17,0
510,29,0
540,44,0
570,57,0
574,59,0
600,62,0
630,64,0
660,76,0
690,81,11
720,86,29
750,80,38
780,75,46
810,79,57
840,69,63
870,88,82
900,97,0
930,96,0
960,105,0
990,106,0
1020,109,0
1050,113,3
1080,111,8
1110,106,13
1140,109,22
1170,98,28
1200,97,33
1230,82,37
1260,77,45
1290,69,49
1317,56,54
1320,54,45
1350,54,45
1380,56,1
1410,50,0
1440,42,0
1470,43,0
1500,44,0
1530,37,0
1560,32,0
1590,22,0
1620,18,0
1650,17,0
1680,12,0
1710,10,0
1740,10,0
1770,5,0
1800,2,2
1830,3,3
1839,3,3
1860,3,0
1890,6,0
1920,8,0
1950,17,0
1980,24,0
2010,33,0
2040,44,0
2070,50,0
2100,51,0
2130,59,0
2160,64,6
2190,62,15
2220,58,24
2250,53,29
2277,40,36
2280,38,20
2310,50,30
2340,63,0
2370,67,0
2400,70,0
2430,76,0
2460,78,0
2490,80,0
2520,76,0
2550,73,0
2580,75,0
2610,73,3
2640,66,9
2670,60,13
2700,52,18
2730,41,20
2760,24,11
2790,25,12
2800,25,12
2809,25,12
2820,27,0
2850,22,0
2880,20,0
2881,20,0
2910,20,0
2940,20,0
2970,17,0
3000,14,0
3030,12,0
3060,9,0
3090,8,0
3120,6,0
3150,4,0
3180,5,0
3210,5,3
3240,4,4
3270,7,7
3300,10,0
3330,12,0
3360,15,0
3390,30,0
3420,36,0
3450,45,0
3480,55,0
3506,58,0
3510,58,0
3540,61,0
3570,64,1
3600,60,8
3630,64,20
3660,61,28
3690,58,36
3720,52,48
3750,61,57
3780,70,0
3810,75,0
3840,84,0
3870,88,0
3879,90,0
3900,91,0
3930,95,0
3960,98,0
3990,95,0
4020,96,14
4050,90,20
4080,90,29
4110,78,35
4140,76,42
4152,73,45
4170,63,47
4200,50,46
4230,50,46
4260,51,0
4261,51,0
4290,47,0
4320,45,0
4350,45,0
4380,43,0
4410,39,0
4440,35,0
4460,30,0
4470,28,0
4500,25,0
4516,20,0
4530,18,0
4560,16,0
4590,13,0
4620,10,0
4650,7,2
4680,4,2
4710,7,4
4739,12,9
4740,12,0
4770,15,0
4800,22,0
4830,44,0
4843,46,0
4860,52,0
4890,65,0
4920,78,0
4950,91,4
4980,95,14
5010,101,30
5040,103,43
5070,103,55
5092,98,63
5100,94,64
5130,94,73
5160,87,84
5184,93,90
5190,95,92
5220,110,0
5250,123,0
5280,126,0
5293,123,0
5310,127,1
5340,127,6
5370,125,8
5400,122,17
5430,108,19
5460,114,31
5490,116,42
5520,118,52
5550,102,57
5580,96,62
5610,85,65
5640,67,61
5653,68,62
5670,70,64
5700,71,1
5730,69,0
5760,63,0
5790,60,0
5820,59,0
5850,53,0
5880,46,0
5910,39,0
5917,38,0
5940,35,0
5970,30,0
6000,26,0
6030,22,0
6060,20,0
6090,14,3
6120,4,0
6150,8,1
6180,11,0
6210,14,0
6216,13,0
6240,15,0
6270,24,0
6292,26,0
6300,29,0
6330,32,0
6360,39,0
6390,41,0
6420,47,0
6450,52,0
6480,60,10
6510,59,17
6540,58,25
6570,53,33
6600,45,36
6612,46,37
6621,48,39
6630,51,42
6660,56,0
6690,62,0
6720,63,0
6750,68,0
6780,74,0
6810,74,0
6832,72,0
6840,71,0
6870,67,0
6900,69,0
6930,67,1
6960,61,9
6967,59,9
6990,58,13
7020,47,18
7050,38,21
7080,26,21
7110,27,22
7140,29,0
7170,26,0
