minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,2,0
270,3,0
300,4,0
330,4,1
360,1,1
390,3,1
420,5,0
450,10,0
480,16,0
510,30,0
540,45,0
570,53,0
574,56,0
600,64,0
630,65,0
660,74,2
690,77,18
720,83,29
750,79,39
780,77,48
810,83,63
840,74,70
870,92,88
900,100,0
930,103,0
960,109,1
990,116,1
1020,120,6
1050,121,15
1080,122,25
1110,122,36
1140,117,38
1170,115,49
1200,108,55
1230,103,61
1260,102,66
1290,93,74
1317,82,80
1320,80,70
1350,80,71
1380,84,0
1410,73,0
1440,70,0
1470,69,0
1500,68,0
1530,59,0
1560,54,0
1590,49,0
1620,40,0
1650,30,0
1680,28,0
1710,19,0
1740,16,0
1770,5,0
1800,3,3
1830,4,4
1839,4,4
1860,5,0
1890,8,0
1920,12,0
1950,24,0
1980,30,0
2010,36,0
2040,51,0
2070,53,0
2100,54,0
2130,61,1
2160,65,12
2190,69,28
2220,64,36
2250,66,41
2277,56,48
2280,48,26
2310,57,31
2340,70,0
2370,77,0
2400,81,0
2430,94,0
2460,97,0
2490,95,0
2520,97,7
2550,97,10
2580,95,19
2610,90,28
2640,88,36
2670,86,48
2700,80,55
2730,76,55
2760,57,53
2790,59,55
2800,60,56
2809,60,56
2820,61,0
2850,53,0
2880,46,0
2881,46,0
2910,46,0
2940,46,0
2970,42,0
3000,37,0
3030,33,0
3060,26,0
3090,22,0
3120,14,0
3150,10,0
3180,7,0
3210,7,1
3240,2,2
3270,7,5
3300,9,0
3330,12,0
3360,15,0
3390,28,0
3420,35,0
3450,40,0
3480,49,0
3506,47,0
3510,48,0
3540,55,0
3570,61,4
3600,61,10
3630,62,21
3660,58,28
3690,54,37
3720,50,38
3750,60,48
3780,68,0
3810,71,0
3840,77,0
3870,84,0
3879,88,0
3900,90,0
3930,93,0
3960,95,4
3990,92,6
4020,84,15
4050,87,23
4080,88,39
4110,84,42
4140,82,49
4152,77,49
4170,76,52
4200,55,35
4230,55,35
4260,58,0
4261,58,0
4290,53,0
4320,47,0
4350,47,0
4380,49,0
4410,44,0
4440,40,0
4460,37,0
4470,37,0
4500,27,0
4516,25,0
4530,24,0
4560,22,0
4590,16,0
4620,11,0
4650,7,1
4680,2,2
4710,8,8
4739,12,12
4740,12,0
4770,16,0
4800,17,0
4830,39,0
4843,42,0
4860,49,0
4890,61,0
4920,74,0
4950,87,4
4980,92,21
5010,101,39
5040,112,56
5070,107,71
5092,110,76
5100,110,76
5130,111,85
5160,98,86
5184,105,93
5190,107,95
5220,122,0
5250,133,2
5280,136,9
5293,135,13
5310,135,15
5340,142,26
5370,140,31
5400,138,43
5430,138,53
5460,138,61
5490,134,73
5520,139,81
5550,129,88
5580,127,94
5610,122,101
5640,104,92
5653,105,93
5670,107,94
5700,108,1
5730,98,0
5760,92,1
5790,91,1
5820,87,1
5850,80,1
5880,75,0
5910,64,0
5917,62,0
5940,59,0
5970,52,1
6000,44,0
6030,39,1
6060,31,1
6090,27,3
6120,4,4
6150,9,9
6180,12,0
6210,16,0
6216,16,0
6240,18,0
6270,26,0
6292,29,0
6300,33,0
6330,37,0
6360,39,0
6390,43,0
6420,43,0
6450,45,0
6480,55,9
6510,52,14
6540,49,18
6570,51,28
6600,40,10
6612,40,10
6621,43,11
6630,46,14
6660,52,0
6690,59,0
6720,60,0
6750,71,0
6780,78,0
6810,76,0
6832,79,0
6840,77,0
6870,73,1
6900,71,4
6930,70,13
6960,60,17
6967,58,18
6990,56,20
7020,55,25
7050,45,28
7080,33,17
7110,34,19
7140,36,0
7170,32,0
