minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,0,0
240,1,0
270,1,0
300,1,0
330,3,1
360,1,1
390,3,3
420,5,0
450,9,0
480,14,0
510,28,0
540,43,0
570,47,0
574,50,0
600,51,0
630,53,0
660,63,5
690,66,17
720,74,30
750,73,40
780,77,49
810,78,62
840,73,71
870,91,89
900,99,0
930,103,2
960,109,7
990,110,18
1020,108,21
1050,104,25
1080,105,34
1110,105,41
1140,99,44
1170,97,54
1200,98,59
1230,100,63
1260,102,70
1290,95,74
1317,85,80
1320,80,60
1350,80,64
1380,84,1
1410,67,0
1440,60,0
1470,56,0
1500,54,0
1530,50,0
1560,41,0
1590,38,0
1620,26,0
1650,19,0
1680,10,0
1710,6,0
1740,7,0
1770,2,0
1800,3,3
1830,4,4
1839,4,4
1860,5,0
1890,6,0
1920,7,0
1950,19,0
1980,25,0
2010,33,0
2040,41,0
2070,38,0
2100,39,1
2130,48,3
2160,51,11
2190,54,20
2220,55,28
2250,56,34
2277,44,41
2280,41,32
2310,50,40
2340,63,0
2370,66,0
2400,71,0
2430,81,0
2460,79,0
2490,76,0
2520,79,7
2550,77,9
2580,76,19
2610,72,23
2640,77,37
2670,82,45
2700,85,52
2730,75,54
2760,56,53
2790,58,55
2800,59,57
2809,59,57
2820,60,0
2850,50,0
2880,42,0
2881,42,0
2910,42,0
2940,41,0
2970,32,0
3000,23,0
3030,17,0
3060,11,0
3090,6,0
3120,1,0
3150,0,0
3180,1,0
3210,2,0
3240,1,0
3270,6,2
3300,8,0
3330,8,0
3360,11,0
3390,25,0
3420,33,0
3450,35,0
3480,38,0
3506,35,0
3510,35,0
3540,40,0
3570,46,4
3600,46,9
3630,53,23
3660,54,29
3690,55,38
3720,51,46
3750,61,57
3780,69,0
3810,74,0
3840,72,0
3870,79,0
3879,81,0
3900,76,0
3930,73,1
3960,80,6
3990,73,9
4020,73,17
4050,73,25
4080,78,39
4110,78,47
4140,83,53
4152,81,53
4170,82,56
4200,59,46
4230,59,49
4260,61,0
4261,61,0
4290,51,0
4320,43,0
4350,41,0
4380,41,0
4410,37,0
4440,26,0
4460,18,0
4470,16,0
4500,11,0
4516,6,0
4530,5,0
4560,2,0
4590,3,0
4620,0,0
4650,1,1
4680,2,2
4710,8,8
4739,12,12
4740,12,0
4770,11,0
4800,11,0
4830,33,0
4843,36,0
4860,43,0
4890,56,0
4920,65,0
4950,77,5
4980,81,17
5010,87,30
5040,95,49
5070,99,62
5092,103,68
5100,103,68
5130,101,76
5160,89,84
5184,96,91
5190,98,93
5220,113,0
5250,124,4
5280,124,15
5293,124,17
5310,125,26
5340,120,31
5370,120,41
5400,125,44
5430,116,51
5460,118,59
5490,116,64
5520,114,76
5550,117,81
5580,122,90
5610,116,95
5640,98,86
5653,99,89
5670,101,90
5700,103,0
5730,92,2
5760,79,2
5790,74,2
5820,66,1
5850,62,1
5880,55,2
5910,46,1
5917,44,1
5940,37,1
5970,30,2
6000,25,1
6030,22,3
6060,19,3
6090,11,6
6120,7,2
6150,12,7
6180,15,0
6210,17,0
6216,18,0
6240,15,0
6270,23,0
6292,26,0
6300,30,0
6330,31,0
6360,33,0
6390,30,0
6420,34,0
6450,32,3
6480,37,6
6510,38,10
6540,36,15
6570,41,25
6600,37,37
6612,37,37
6621,40,40
6630,43,43
6660,49,0
6690,54,0
6720,48,0
6750,56,0
6780,62,0
6810,59,0
6832,58,0
6840,58,0
6870,57,2
6900,53,1
6930,56,10
6960,52,12
6967,51,12
6990,46,14
7020,45,20
7050,39,21
7080,26,23
7110,27,24
7140,29,0
7170,28,0
