minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,3,0
270,3,0
300,3,0
330,2,1
360,1,1
390,3,3
420,6,0
450,11,0
480,17,0
510,29,0
540,43,0
570,54,0
574,56,0
600,63,0
630,66,0
660,78,8
690,82,22
720,88,43
750,91,50
780,92,58
810,96,69
840,81,71
870,100,90
900,109,0
930,104,0
960,110,0
990,114,0
1020,116,10
1050,123,19
1080,117,32
1110,119,37
1140,117,48
1170,113,52
1200,109,62
1230,109,69
1260,106,77
1290,101,81
1317,88,86
1320,86,82
1350,86,82
1380,88,0
1410,79,0
1440,73,0
1470,73,0
1500,69,0
1530,59,0
1560,56,0
1590,50,0
1620,39,0
1650,37,0
1680,28,0
1710,23,0
1740,17,0
1770,9,0
1800,2,0
1830,3,0
1839,3,0
1860,3,0
1890,5,0
1920,7,0
1950,16,0
1980,23,0
2010,33,0
2040,41,0
2070,45,0
2100,48,0
2130,56,3
2160,59,15
2190,59,24
2220,63,33
2250,56,38
2277,47,45
2280,47,43
2310,59,55
2340,72,0
2370,73,0
2400,77,0
2430,81,0
2460,85,0
2490,85,0
2520,84,2
2550,82,2
2580,79,9
2610,75,16
2640,71,23
2670,63,27
2700,60,31
2730,50,32
2760,36,36
2790,37,37
2800,37,37
2809,37,37
2820,39,0
2850,31,0
2880,27,0
2881,27,0
2910,26,0
2940,25,0
2970,20,0
3000,18,0
3030,16,0
3060,12,0
3090,11,0
3120,8,0
3150,8,0
3180,6,0
3210,6,2
3240,3,3
3270,6,6
3300,9,0
3330,12,0
3360,15,0
3390,30,0
3420,37,0
3450,44,0
3480,53,0
3506,56,0
3510,55,0
3540,59,0
3570,59,3
3600,58,10
3630,59,24
3660,57,32
3690,56,40
3720,56,51
3750,65,60
3780,74,0
3810,73,0
3840,81,0
3870,86,0
3879,90,0
3900,94,0
3930,99,0
3960,100,8
3990,99,12
4020,96,24
4050,92,31
4080,95,41
4110,91,52
4140,90,59
4152,88,62
4170,85,63
4200,66,58
4230,66,59
4260,68,0
4261,68,0
4290,62,0
4320,56,0
4350,54,0
4380,54,0
4410,52,0
4440,48,0
4460,43,0
4470,40,0
4500,34,0
4516,30,0
4530,28,0
4560,20,0
4590,15,0
4620,12,0
4650,7,2
4680,4,2
4710,7,5
4739,12,9
4740,12,0
4770,15,0
4800,20,0
4830,43,0
4843,45,0
4860,49,0
4890,62,0
4920,72,0
4950,84,6
4980,85,20
5010,95,37
5040,98,48
5070,99,59
5092,102,67
5100,101,68
5130,95,77
5160,91,87
5184,97,93
5190,100,96
5220,115,0
5250,121,0
5280,132,6
5293,132,7
5310,130,10
5340,128,15
5370,121,23
5400,123,27
5430,115,33
5460,117,47
5490,121,57
5520,122,69
5550,114,75
5580,115,82
5610,107,85
5640,87,82
5653,88,84
5670,90,86
5700,91,0
5730,82,0
5760,74,0
5790,71,0
5820,69,0
5850,61,0
5880,56,0
5910,47,0
5917,47,1
5940,45,0
5970,38,0
6000,30,1
6030,24,0
6060,20,1
6090,16,3
6120,4,0
6150,8,4
6180,11,0
6210,14,0
6216,14,0
6240,17,0
6270,26,0
6292,28,0
6300,31,0
6330,37,0
6360,42,0
6390,42,0
6420,45,0
6450,51,4
6480,61,19
6510,62,24
6540,61,32
6570,56,40
6600,52,52
6612,53,53
6621,55,55
6630,58,58
6660,63,0
6690,65,0
6720,66,0
6750,72,0
6780,77,0
6810,76,0
6832,76,0
6840,72,0
6870,75,2
6900,69,8
6930,66,11
6960,65,22
6967,63,24
6990,64,28
7020,65,33
7050,50,36
7080,41,41
7110,42,42
7140,44,0
7170,40,0
