minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,1,0
120,1,0
142,1,0
150,1,0
162,1,0
180,1,0
210,1,0
220,1,0
233,1,0
240,1,0
244,1,0
270,1,0
282,1,0
300,2,0
330,2,0
341,1,0
356,0,0
360,0,0
375,0,0
380,0,0
390,0,0
420,0,0
432,0,0
450,0,0
466,0,0
468,0,0
480,0,0
489,0,0
501,0,0
510,0,0
514,0,0
540,1,0
542,1,0
553,1,0
559,1,0
570,1,0
579,1,0
583,1,0
600,1,0
605,1,0
607,1,0
630,3,0
649,3,0
660,3,0
690,3,0
719,3,0
720,3,0
737,2,0
750,2,0
757,2,0
761,2,0
780,3,0
797,3,0
810,3,0
840,0,0
841,0,0
870,0,0
875,0,0
900,1,0
930,1,0
934,1,0
959,1,0
960,1,0
982,1,0
990,2,0
996,2,0
1015,2,0
1020,2,0
1028,2,0
1050,2,0
1080,2,0
1104,3,0
1106,3,0
1110,3,0
1130,3,0
1140,3,0
1158,3,0
1170,3,0
1180,3,0
1183,3,0
1189,3,0
1200,4,0
1219,4,0
1230,4,0
1250,4,0
1260,4,0
1290,1,0
1300,1,0
1307,1,0
1320,1,1
1350,1,1
1356,1,1
1360,1,1
1365,1,1
1380,1,0
1410,2,0
1440,1,0
1470,1,0
1482,1,0
1500,1,0
1530,2,0
1540,2,0
1560,2,0
1590,2,0
1596,2,0
1620,2,0
1650,2,0
1675,2,0
1680,2,0
1710,2,0
1732,2,0
1740,2,0
1770,2,1
1800,1,1
1805,1,1
1815,1,1
1830,1,1
1853,1,1
1856,1,1
1860,1,0
1890,1,0
1903,0,0
1908,0,0
1920,0,0
1931,0,0
1939,0,0
1940,0,0
1950,0,0
1980,0,0
1982,0,0
2001,0,0
2010,0,0
2035,0,0
2040,0,0
2070,0,0
2100,0,0
2108,0,0
2130,0,0
2160,0,0
2165,0,0
2190,0,0
2220,0,0
2250,0,0
2280,1,1
2310,2,2
2340,5,0
2370,4,0
2400,2,0
2430,2,0
2449,3,0
2460,3,0
2490,3,0
2503,3,0
2520,3,0
2550,3,0
2563,4,0
2580,4,0
2587,4,0
2602,4,0
2610,4,0
2640,4,0
2641,4,0
2652,4,0
2667,3,0
2670,3,0
2672,3,0
2700,3,0
2730,1,0
2760,1,1
2790,2,2
2820,2,0
2829,2,0
2848,2,0
2850,2,0
2880,3,0
2910,3,0
2939,3,0
2940,3,0
2970,3,0
3000,3,0
3001,3,0
3030,3,0
3044,3,0
3060,3,0
3090,3,0
3120,3,0
3150,4,0
3180,4,0
3210,2,0
3224,1,0
3240,0,0
3263,0,0
3269,0,0
3270,0,0
3280,0,0
3300,0,0
3312,0,0
3330,0,0
3360,0,0
3364,0,0
3367,0,0
3390,0,0
3420,1,0
3450,1,0
3469,1,0
3478,1,0
3480,1,0
3486,1,0
3510,2,0
3540,4,0
3570,5,0
3571,5,0
3600,4,0
3630,4,0
3660,4,0
3690,2,0
3691,2,0
3720,1,1
3744,2,2
3750,2,2
3755,2,2
3780,2,0
3810,2,0
3827,2,0
3840,2,0
3870,3,0
3900,4,0
3925,4,0
3930,4,0
3935,4,0
3960,4,0
3963,4,0
3990,4,0
3994,5,0
4005,5,0
4020,5,0
4050,6,0
4080,6,0
4110,6,0
4130,6,0
4140,6,0
4162,4,0
4170,3,1
4200,1,1
4230,3,3
4233,3,3
4252,3,3
4260,3,0
4290,3,0
4311,1,0
4320,1,0
4331,1,0
4350,1,0
4352,1,0
4380,1,0
4404,2,0
4405,2,0
4408,2,0
4410,2,0
4419,2,0
4425,2,0
4427,2,0
4440,3,0
4467,4,0
4470,4,0
4481,4,0
4486,4,0
4487,4,0
4500,4,0
4520,4,0
4522,4,0
4530,4,0
4539,4,0
4543,4,0
4553,4,0
4560,4,0
4588,4,0
4590,4,0
4596,5,0
4599,5,0
4620,5,0
4648,4,0
4650,4,0
4678,0,0
4680,0,0
4683,0,0
4710,1,1
4715,2,2
4729,2,2
4740,2,0
4760,2,0
4770,1,0
4800,0,0
4830,0,0
4841,0,0
4860,0,0
4873,1,0
4890,1,0
4900,1,0
4920,1,0
4950,2,0
4980,3,0
4981,3,0
5003,3,0
5010,3,0
5040,4,0
5041,4,0
5051,4,0
5061,4,0
5070,4,0
5081,4,0
5085,4,0
5100,4,0
5109,4,0
5130,1,0
5142,2,2
5151,2,2
5160,2,2
5190,2,2
5200,2,2
5220,2,0
5234,2,0
5235,2,0
5250,1,0
5264,2,0
5280,3,0
5310,3,0
5329,4,0
5339,4,0
5340,4,0
5370,4,0
5400,5,0
5426,5,0
5430,5,0
5455,5,0
5460,5,0
5485,5,0
5490,5,1
