minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,2,0
270,2,0
300,3,0
330,2,1
360,1,0
390,3,1
420,5,0
450,10,0
480,11,0
510,17,0
540,25,0
570,33,0
574,35,0
600,37,0
630,36,0
660,41,0
690,45,0
720,41,1
750,41,8
780,37,12
810,30,19
840,27,27
870,42,42
900,50,0
930,53,0
960,58,0
990,63,0
1020,66,0
1050,71,0
1080,69,0
1110,65,0
1140,63,0
1170,56,0
1200,54,4
1230,45,6
1260,41,10
1290,31,13
1317,21,17
1320,17,7
1350,17,7
1380,19,0
1410,17,0
1440,16,0
1470,16,0
1500,17,0
1530,17,0
1560,12,0
1590,11,0
1620,10,0
1650,7,0
1680,6,0
1710,5,0
1740,4,0
1770,4,0
1800,2,2
1830,3,3
1839,3,3
1860,3,0
1890,7,0
1920,9,0
1950,16,0
1980,22,0
2010,28,0
2040,35,0
2070,39,0
2100,40,0
2130,41,0
2160,47,2
2190,46,7
2220,39,13
2250,40,18
2277,29,24
2280,25,14
2310,34,21
2340,45,0
2370,47,0
2400,52,0
2430,59,0
2460,64,0
2490,64,0
2520,63,0
2550,59,0
2580,60,0
2610,55,0
2640,52,0
2670,42,1
2700,38,6
2730,27,8
2760,10,7
2790,12,9
2800,12,9
2809,12,9
2820,13,0
2850,8,0
2880,7,0
2881,7,0
2910,8,0
2940,7,0
2970,7,0
3000,7,0
3030,6,0
3060,5,0
3090,3,0
3120,3,0
3150,4,0
3180,2,0
3210,5,1
3240,2,0
3270,6,2
3300,8,0
3330,8,0
3360,14,0
3390,24,0
3420,28,0
3450,36,0
3480,43,0
3506,47,0
3510,48,0
3540,56,0
3570,56,0
3600,50,1
3630,58,16
3660,52,21
3690,49,29
3720,40,31
3750,50,41
3780,58,0
3810,56,0
3840,64,0
3870,72,0
3879,75,0
3900,79,0
3930,85,0
3960,86,0
3990,83,0
4020,85,8
4050,81,17
4080,80,23
4110,67,28
4140,68,35
4152,66,37
4170,57,39
4200,41,31
4230,41,31
4260,44,0
4261,44,0
4290,37,0
4320,34,0
4350,35,0
4380,37,0
4410,32,0
4440,26,0
4460,25,0
4470,25,0
4500,21,0
4516,20,0
4530,17,0
4560,12,0
4590,9,0
4620,6,0
4650,4,1
4680,2,2
4710,8,8
4739,13,13
4740,13,0
4770,16,0
4800,21,0
4830,40,0
4843,45,0
4860,53,0
4890,66,0
4920,81,0
4950,99,6
4980,100,20
5010,109,36
5040,121,58
5070,113,72
5092,109,76
5100,108,76
5130,99,84
5160,97,90
5184,105,98
5190,108,101
5220,122,0
5250,136,0
5280,134,0
5293,134,1
5310,138,3
5340,134,9
5370,127,12
5400,125,19
5430,125,30
5460,125,41
5490,122,52
