minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,0,0
240,1,0
270,1,0
300,0,0
330,2,1
360,1,1
390,2,2
420,4,0
450,8,0
480,10,0
510,18,0
540,28,0
570,31,0
574,34,0
600,38,0
630,38,0
660,37,0
690,39,0
720,37,4
750,37,5
780,38,12
810,38,18
840,25,25
870,40,40
900,45,0
930,47,0
960,50,0
990,55,0
1020,57,0
1050,50,0
1080,46,0
1110,46,1
1140,37,0
1170,36,1
1200,34,3
1230,33,4
1260,28,8
1290,24,10
1317,14,13
1320,13,9
1350,13,10
1380,16,0
1410,10,0
1440,3,0
1470,4,0
1500,4,0
1530,2,0
1560,1,0
1590,0,0
1620,0,0
1650,1,0
1680,1,0
1710,1,0
1740,2,0
1770,1,0
1800,3,3
1830,4,4
1839,4,4
1860,5,0
1890,6,0
1920,5,0
1950,16,0
1980,21,0
2010,28,0
2040,34,0
2070,30,0
2100,31,0
2130,39,3
2160,41,7
2190,45,15
2220,42,20
2250,36,24
2277,30,28
2280,28,25
2310,35,32
2340,46,0
2370,48,0
2400,50,0
2430,56,0
2460,58,0
2490,54,0
2520,55,0
2550,47,0
2580,42,0
2610,40,0
2640,41,1
2670,39,5
2700,41,8
2730,35,12
2760,13,7
2790,14,8
2800,15,8
2809,15,9
2820,16,0
2850,7,0
2880,2,0
2881,2,0
2910,3,0
2940,3,0
2970,1,0
3000,2,0
3030,1,0
3060,0,0
3090,0,0
3120,0,0
3150,0,0
3180,1,0
3210,2,1
3240,2,2
3270,6,6
3300,8,0
3330,12,0
3360,11,0
3390,25,0
3420,33,0
3450,33,0
3480,38,0
3506,37,0
3510,38,0
3540,42,0
3570,46,1
3600,44,8
3630,48,18
3660,52,26
3690,56,33
3720,44,41
3750,54,50
3780,62,0
3810,65,0
3840,66,0
3870,68,0
3879,72,0
3900,72,0
3930,66,0
3960,72,2
3990,68,4
4020,62,8
4050,63,15
4080,69,26
4110,66,32
4140,73,40
4152,69,40
4170,67,42
4200,45,40
4230,45,40
4260,48,1
4261,48,1
4290,37,1
