minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,0,0
120,0,0
150,1,0
180,1,0
210,1,0
240,2,0
270,3,0
300,3,0
330,3,1
360,1,1
390,2,2
420,4,0
450,9,0
480,13,0
510,21,0
540,30,0
570,36,0
574,39,0
600,43,0
630,48,0
660,53,0
690,55,1
720,54,10
750,54,15
780,49,21
810,47,29
840,36,31
870,51,46
900,56,0
930,59,0
960,62,0
990,69,0
1020,69,0
1050,65,0
1080,65,0
1110,66,0
1140,59,0
1170,54,2
1200,51,6
1230,45,9
1260,40,11
1290,31,14
1317,20,17
1320,17,12
1350,17,12
1380,20,0
1410,17,0
1440,13,0
1470,14,0
1500,14,0
1530,13,0
1560,8,0
1590,7,0
1620,7,0
1650,6,0
1680,2,0
1710,3,0
1740,5,0
1770,4,0
1800,3,3
1830,4,4
1839,4,4
1860,5,0
1890,9,0
1920,9,0
1950,20,0
1980,25,0
2010,31,0
2040,40,0
2070,43,0
2100,44,0
2130,58,2
2160,57,12
2190,58,21
2220,53,25
2250,45,30
2277,36,34
2280,34,29
2310,41,36
2340,52,0
2370,54,0
2400,61,0
2430,69,0
2460,71,0
2490,71,0
2520,71,0
2550,67,0
2580,64,0
2610,64,6
2640,59,12
2670,55,17
2700,52,20
2730,44,22
2760,23,19
2790,24,20
2800,25,21
2809,25,21
2820,26,0
2850,23,0
2880,19,0
2881,19,0
2910,20,0
2940,19,0
2970,18,0
3000,17,0
3030,16,0
3060,12,0
3090,9,0
3120,7,0
3150,6,0
3180,4,0
3210,6,1
3240,2,0
3270,6,3
3300,8,0
3330,12,0
3360,17,0
3390,30,0
3420,38,0
3450,42,0
3480,47,0
3506,46,0
3510,48,0
3540,55,0
3570,59,4
3600,59,7
3630,59,19
