bloque,pedidos,paquetes,algoritmo,semilla,presupuesto_ms,h_base,h,costo_soles,tiempo_ms,v1,v2,v3,v4
P50,50,215,HGS,20260902,2000,1,1,3377.00000000,2000.725,true,true,false,true
P50,50,215,HGS,20260904,2000,1,1,3383.00000000,2000.255,true,true,false,true
P50,50,215,ALNS,20260908,2000,1,1,3364.00000000,2000.260,true,true,false,true
P50,50,215,HGS,20260905,2000,1,1,3379.00000000,2000.316,true,true,false,true
P50,50,215,ALNS,20260903,2000,1,1,3314.00000000,2000.206,true,true,false,true
P50,50,215,HGS,20260901,2000,1,1,3377.00000000,2000.128,true,true,false,true
P50,50,215,ALNS,20260902,2000,1,1,3314.00000000,2000.195,true,true,false,true
P50,50,215,ALNS,20260901,2000,1,1,3364.00000000,2000.222,true,true,false,true
P50,50,215,ALNS,20260905,2000,1,1,3365.00000000,2000.194,true,true,false,true
P50,50,215,HGS,20260907,2000,1,1,3420.00000000,2000.102,true,true,false,true
P50,50,215,HGS,20260903,2000,1,1,3425.00000000,2000.180,true,true,false,true
P50,50,215,HGS,20260906,2000,1,1,3396.00000000,2000.135,true,true,false,true
P50,50,215,HGS,20260910,2000,1,1,3401.00000000,2000.059,true,true,false,true
P50,50,215,ALNS,20260909,2000,1,1,3314.00000000,2000.368,true,true,false,true
P50,50,215,HGS,20260908,2000,1,1,3400.00000000,2000.387,true,true,false,true
P50,50,215,ALNS,20260910,2000,1,1,3364.00000000,2000.161,true,true,false,true
P50,50,215,ALNS,20260906,2000,1,1,3365.00000000,2000.101,true,true,false,true
P50,50,215,HGS,20260909,2000,1,1,3396.00000000,2000.120,true,true,false,true
P50,50,215,ALNS,20260907,2000,1,1,3314.00000000,2000.126,true,true,false,true
P50,50,215,ALNS,20260904,2000,1,1,3314.00000000,2000.139,true,true,false,true
P150,150,664,ALNS,20260902,2000,18,2,8853.00000000,2000.120,true,true,false,true
P150,150,664,HGS,20260910,2000,18,2,9910.00000000,2000.092,true,true,false,true
P150,150,664,ALNS,20260909,2000,18,2,8916.00000000,2000.149,true,true,false,true
P150,150,664,ALNS,20260906,2000,18,2,8947.00000000,2000.157,true,true,false,true
P150,150,664,HGS,20260907,2000,18,2,9682.00000000,2000.378,true,true,false,true
P150,150,664,HGS,20260901,2000,18,2,9956.00000000,2000.097,true,true,false,true
P150,150,664,HGS,20260908,2000,18,2,9717.00000000,2000.333,true,true,false,true
P150,150,664,ALNS,20260907,2000,18,2,9090.00000000,2000.123,true,true,false,true
P150,150,664,ALNS,20260905,2000,18,2,8952.00000000,2000.120,true,true,false,true
P150,150,664,HGS,20260903,2000,18,2,9744.00000000,2000.207,true,true,false,true
P150,150,664,ALNS,20260908,2000,18,2,8912.00000000,2000.111,true,true,false,true
P150,150,664,ALNS,20260910,2000,18,2,8931.00000000,2000.090,true,true,false,true
P150,150,664,HGS,20260904,2000,18,2,9836.00000000,2000.119,true,true,false,true
P150,150,664,ALNS,20260904,2000,18,2,9024.00000000,2000.112,true,true,false,true
P150,150,664,ALNS,20260903,2000,18,2,8985.00000000,2000.137,true,true,false,true
P150,150,664,HGS,20260909,2000,18,2,9833.00000000,2000.352,true,true,false,true
P150,150,664,HGS,20260905,2000,18,2,9582.00000000,2000.109,true,true,false,true
P150,150,664,HGS,20260906,2000,18,2,10021.00000000,2000.077,true,true,false,true
P150,150,664,HGS,20260902,2000,18,2,9859.00000000,2000.313,true,true,false,true
P150,150,664,ALNS,20260901,2000,18,2,8996.00000000,2000.103,true,true,false,true
P400,295,1146,HGS,20260910,2000,134,113,11779.00000000,2000.122,true,true,false,true
P400,295,1146,HGS,20260906,2000,134,117,10778.00000000,2000.257,true,true,false,true
P400,295,1146,ALNS,20260907,2000,134,98,9075.00000000,2000.155,true,true,false,true
P400,295,1146,HGS,20260903,2000,134,113,10611.00000000,2000.077,true,true,false,true
P400,295,1146,ALNS,20260902,2000,134,97,8709.00000000,2000.203,true,true,false,true
P400,295,1146,HGS,20260902,2000,134,118,10537.00000000,2000.094,true,true,false,true
P400,295,1146,ALNS,20260909,2000,134,100,8508.00000000,2000.133,true,true,false,true
P400,295,1146,ALNS,20260906,2000,134,101,8647.00000000,2000.177,true,true,false,true
P400,295,1146,HGS,20260901,2000,134,117,10369.00000000,2000.083,true,true,false,true
P400,295,1146,ALNS,20260908,2000,134,100,8944.00000000,2000.164,true,true,false,true
P400,295,1146,HGS,20260905,2000,134,115,10774.00000000,2000.569,true,true,false,true
P400,295,1146,HGS,20260907,2000,134,112,11700.00000000,2000.097,true,true,false,true
P400,295,1146,HGS,20260909,2000,134,114,10866.00000000,2000.138,true,true,false,true
P400,295,1146,ALNS,20260904,2000,134,100,8369.00000000,2000.148,true,true,false,true
P400,295,1146,ALNS,20260903,2000,134,100,8764.00000000,2000.169,true,true,false,true
P400,295,1146,HGS,20260904,2000,134,117,10918.00000000,2000.133,true,true,false,true
P400,295,1146,HGS,20260908,2000,134,114,11311.00000000,2000.123,true,true,false,true
P400,295,1146,ALNS,20260910,2000,134,98,8722.00000000,2000.141,true,true,false,true
P400,295,1146,ALNS,20260901,2000,134,99,8941.00000000,2000.145,true,true,false,true
P400,295,1146,ALNS,20260905,2000,134,99,8742.00000000,2000.141,true,true,false,true
