variante,algoritmo,primerDia,dias,presupuestoMs,semilla,incidencias,planVigente,estado,minutoFinal,registrados,entregados,pendientes,incumplidos,paquetes,kilometros,costo,minutoPrimerIncumplimiento,tiempoMs,planificaciones,planesVerificados,sobregiros,maximoPlanMs,averias,mantenimientos
final,ALNS,2026-09-01,1,200,20260924,false,true,CULMINADA,1440,187,160,27,0,812,3663,23491.00,-1,13114,88,88,0,150,0,0
final,ALNS,2026-09-01,1,200,20260925,false,true,CULMINADA,1440,187,161,26,0,819,3837,24149.00,-1,13123,88,88,0,151,0,0
final,ALNS,2026-09-01,1,200,20260926,false,true,CULMINADA,1440,187,164,23,0,847,3831,23540.00,-1,13122,88,88,0,150,0,0
final,ALNS,2026-09-06,1,200,20260924,false,true,CULMINADA,1440,184,154,30,0,836,3551,22670.00,-1,11899,79,79,0,150,0,0
final,ALNS,2026-09-06,1,200,20260925,false,true,CULMINADA,1440,184,153,31,0,848,3539,23016.00,-1,11912,79,79,0,150,0,0
final,ALNS,2026-09-06,1,200,20260926,false,true,CULMINADA,1440,184,157,27,0,867,3628,23101.00,-1,11902,79,79,0,150,0,0
final,HGS,2026-09-01,1,200,20260924,false,true,CULMINADA,1440,187,161,26,0,820,3268,21922.00,-1,13131,88,88,0,150,0,0
final,HGS,2026-09-01,1,200,20260925,false,true,CULMINADA,1440,187,163,24,0,828,3610,23571.00,-1,13132,88,88,0,150,0,0
final,HGS,2026-09-01,1,200,20260926,false,true,CULMINADA,1440,187,162,25,0,828,3494,22853.00,-1,13140,88,88,0,150,0,0
final,HGS,2026-09-06,1,200,20260924,false,true,CULMINADA,1440,184,156,28,0,847,3345,22849.00,-1,11914,79,79,0,150,0,0
final,HGS,2026-09-06,1,200,20260925,false,true,CULMINADA,1440,184,155,29,0,864,3540,23630.00,-1,11913,79,79,0,150,0,0
final,HGS,2026-09-06,1,200,20260926,false,true,CULMINADA,1440,184,156,27,1,861,3550,24231.00,1323,11910,79,79,0,150,0,0
rama,ALNS,2026-09-01,1,200,20260924,false,true,CULMINADA,1440,187,155,31,1,775,3520,21942.00,1118,13126,88,88,0,150,0,0
rama,ALNS,2026-09-01,1,200,20260925,false,true,CULMINADA,1440,187,159,28,0,805,3532,22395.00,-1,13140,88,88,0,150,0,0
rama,ALNS,2026-09-01,1,200,20260926,false,true,CULMINADA,1440,187,157,30,0,799,3650,22841.00,-1,13143,88,88,0,150,0,0
rama,ALNS,2026-09-06,1,200,20260924,false,true,CULMINADA,1440,184,149,34,1,820,3358,21861.00,1232,11924,79,79,0,150,0,0
rama,ALNS,2026-09-06,1,200,20260925,false,true,CULMINADA,1440,184,150,34,0,822,3558,23047.00,-1,11913,79,79,0,150,0,0
rama,ALNS,2026-09-06,1,200,20260926,false,true,CULMINADA,1440,184,152,32,0,835,3526,23126.00,-1,11904,79,79,0,150,0,0
rama,HGS,2026-09-01,1,200,20260924,false,true,CULMINADA,1440,187,159,27,1,786,3430,22751.00,770,13142,88,88,0,152,0,0
rama,HGS,2026-09-01,1,200,20260925,false,true,CULMINADA,1440,187,158,29,0,802,3562,23604.00,-1,13157,88,88,0,150,0,0
rama,HGS,2026-09-01,1,200,20260926,false,true,CULMINADA,1440,187,160,26,1,808,3558,22987.00,875,13153,88,88,0,150,0,0
rama,HGS,2026-09-06,1,200,20260924,false,true,CULMINADA,1440,184,150,33,1,812,3530,23426.00,1216,11916,79,79,0,150,0,0
rama,HGS,2026-09-06,1,200,20260925,false,true,CULMINADA,1440,184,148,36,0,804,3341,22702.00,-1,11915,79,79,0,150,0,0
rama,HGS,2026-09-06,1,200,20260926,false,true,CULMINADA,1440,184,152,32,0,838,3264,22231.00,-1,11908,79,79,0,150,0,0
